"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","E.J. Liddell","Chi","F","24","6","5.1","14.9","19.2","2","1","2","1","6","0.5","0.813","0.845","2.5","0.8","0.5","0.2","0","0.3","3.3","3","3.8","7.8","138","92.9"
"","Craig Porter","Cle","G","24.8","19","8.9","12.1","19.9","5","0.6","25","0.6","11","0.455","0.625","0.628","2.5","0.9","1.3","0.3","0.3","0.5","3.4","3.8","4.7","6.4","119.3","111.3"
"","Steven Adams","Hou","C","31.4","19","10.5","13.2","40.3","27","0.37","31","0.613","0","0","0.613","0.56","2.5","3.9","1.2","0.3","0.2","1.1","6.5","3.7","7.6","8.6","101.2","98.4"
"","Tristan Thompson","Cle","C-F","33.8","13","7.3","18.3","17.6","14","0.286","27","0.519","1","0","0.5","0.468","2.5","2.6","0.3","0","0.3","0.5","5.1","2.8","5.4","6.8","95.2","101.2"
"","Trey Jemison","Nor","C","25.1","16","10.4","12.9","23.7","21","0.381","32","0.469","0","0","0.469","0.461","2.4","2.8","0.6","0.4","0.4","0.6","5.1","3","5.8","6.1","97.9","105.2"
"","Tyler Kolek","Nyk","G","23.8","19","6","18.6","14.8","4","1","16","0.375","24","0.417","0.525","0.551","2.4","0.6","0.6","0.3","0.1","0.4","3.1","3","3.6","6.3","105.5","107.1"
"","Chris Duarte","Chi","G","27.6","13","4.1","19.1","4.7","8","0.75","8","0.625","12","0.417","0.625","0.659","2.4","1.2","0.4","0","0","0.1","3.6","2.8","4","10.2","137.6","110.7"
"","Anthony Gill","Was","F","32.2","21","7.2","13.2","12.4","18","0.556","23","0.609","12","0.333","0.571","0.582","2.4","1.3","0.3","0.2","0","0.2","3.7","2.7","4","5.4","112.9","115.6"
"","Nate Williams","Hou","G","25.9","3","3.3","16.4","0","0","0","2","1","2","0.5","0.875","0.875","2.3","1","0","0.3","0","0","3.3","2.3","3.3","0","0","0"
"","Lester Quinones","Phi","G","24.1","4","4.3","32.1","32.2","1","1","5","0.8","3","0","0.5","0.533","2.3","1","0.3","0","0","1","3.3","2.5","3.5","8.2","83.8","121.3"
"","Maxi Kleber","Dal","F","32.9","21","18.8","7.2","22.8","12","0.75","27","0.444","20","0.25","0.415","0.459","2.3","3.2","0.9","0.2","0.5","0.7","5.5","3.1","6.4","4","94.9","106.3"
"","Vlatko Cancar","Den","F","27.7","4","8.6","11","22.2","0","0","5","0.6","2","0.5","0.643","0.643","2.3","2","0","0","0.3","0.5","4.3","2.3","4.3","0","106","108"
"","Jaylon Tyson","Cle","G-F","22.1","19","7.7","14.6","19.5","8","0.5","24","0.542","13","0.308","0.514","0.518","2.2","1.7","0.7","0.3","0","0.5","3.9","2.9","4.6","7.2","108.3","97.6"
"","Dillon Jones","Okc","F","23.2","25","8.2","15.3","11.6","10","0.6","25","0.52","36","0.194","0.385","0.405","2.1","1.8","0.7","0.2","0.1","0.3","3.9","2.8","4.6","6.7","96","98.2"
"","Olivier-Maxence Prosper","Dal","F","22.5","22","7.3","15","6.2","19","0.579","30","0.4","15","0.267","0.4","0.44","2.1","1.7","0.5","0.3","0.1","0.1","3.9","2.6","4.3","6.6","108.2","110.8"
"","Jordan McLaughlin","Sac","G","28.7","23","7.2","14.3","20.3","14","0.714","16","0.375","23","0.391","0.5","0.543","2.1","0.8","0.9","0.4","0","0.4","3","3","3.8","6.4","105.9","110.1"
"","Leonard Miller","Min","F","21.1","1","1.6","24","0","2","1","0","0","0","0","0","1.136","2","0","0","1","0","0","2","2","2","0","0","0"
"","Justin Edwards","Phi","F","21","2","4.5","16.8","0","1","0","2","1","1","0","0.667","0.581","2","1","0.5","0","0","0","3","2.5","3.5","8.9","123.2","116.3"
"","Orlando Robinson","Sac","C","24.5","8","6.3","17.5","16.5","6","0.5","10","0.5","5","0.2","0.433","0.454","2","1.5","1.1","0.3","0.1","0.4","3.5","3.1","4.6","9.5","103.6","102.8"
"","Jalen Hood-Schifino","Lal","G","21.5","2","7.1","8.9","41","2","1","1","1","0","0","1","1.064","2","0.5","0.5","0","0.5","0.5","2.5","2.5","3","4.5","151.1","101.3"
"","Adama Sanogo","Chi","F","22.9","4","5.4","15.6","12.5","0","0","7","0.571","0","0","0.571","0.571","2","1.5","0.3","0","0","0.3","3.5","2.3","3.8","7.2","126.2","120.4"
"","Alex Reese","Okc","F-G","25.6","1","1.9","22.4","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","0","0"
"","Tyler Smith","Mil","F","20.2","11","3.5","20.6","17.4","2","0.5","6","1","8","0.375","0.75","0.739","2","0.9","0.1","0","0.3","0.3","2.9","2.1","3","6.5","0","0"
"","Kai Jones","Lac","C-F","23.9","20","7.7","9.3","28.2","12","0.75","20","0.75","0","0","0.75","0.771","2","1.7","0.4","0.3","0.5","0.4","3.7","2.4","4.1","5.8","130.4","99.5"
"","Christian Koloko","Lal","C","24.5","20","9.1","8.6","20.4","4","0.75","25","0.68","2","0","0.63","0.643","1.9","2.3","0.2","0.3","0.4","0.4","4.1","2.1","4.3","4.2","122.6","104.2"
"","Patrick Baldwin Jr.","Was","F","22.1","14","4.3","16.4","9","4","0.5","9","0.556","11","0.455","0.625","0.62","1.9","0.9","0.1","0.1","0.1","0.1","2.8","2","2.9","5.2","115.1","116.7"
"","MarJon Beauchamp","Mil","F","24.2","14","3.8","29.7","33","6","0.833","11","0.545","11","0.273","0.477","0.528","1.9","0.9","0.1","0.1","0","0.8","2.8","2","2.9","5.8","0","0"
"","Ariel Hukporti","Nyk","C","22.7","12","8.2","12.2","41.3","8","0.5","14","0.643","0","0","0.643","0.628","1.8","1.8","0.5","0","0.7","0.8","3.7","2.3","4.2","5.7","90.5","101.1"
"","Caleb Houstan","Orl","G","22","21","6.2","12.4","2.8","5","1","6","0.333","28","0.321","0.456","0.497","1.7","0.4","0.2","0","0.1","0","2.1","1.9","2.3","3.3","109.2","108.2"
"","Jericho Sims","Nyk","C","26.2","29","11.6","6.9","30.4","9","0.667","34","0.647","0","0","0.647","0.659","1.7","3.6","0.6","0.2","0.3","0.5","5.3","2.3","5.9","5.3","128.1","102.6"
"","Yuki Kawamura","Mem","G","23.7","15","3.5","20.3","16.5","6","0.667","6","0.667","14","0.286","0.5","0.53","1.6","0.3","0.7","0.1","0","0.3","1.9","2.3","2.7","7.9","0","0"
"","Pacome Dadiet","Nyk","F","19.4","12","6.8","11.7","4.7","2","1","6","0.167","14","0.357","0.425","0.455","1.6","1.1","0.4","0.1","0.2","0.1","2.7","2","3.1","5.2","102.1","110.3"
"","Jazian Gortman","Dal","G","21.8","13","3.8","22.4","20.6","4","0.5","12","0.417","7","0.429","0.5","0.506","1.6","0.4","0.4","0.2","0.1","0.4","2","2","2.4","6.7","0","0"
"","Adem Bona","Phi","F","21.8","16","6.6","9.9","29.4","9","0.889","14","0.643","0","0","0.643","0.724","1.6","1.7","0.1","0","0.4","0.4","3.3","1.8","3.4","3.9","122.2","98.8"
"","Dwight Powell","Dal","F-C","33.4","26","8","6.6","28.2","26","0.654","14","0.786","1","1","0.833","0.794","1.6","1.8","0.8","0.4","0.5","0.2","3.4","2.4","4.2","6.6","154.8","98.4"
"","Alex Len","Sac","C","31.5","25","7.3","10.5","17.4","11","0.545","29","0.586","4","0","0.515","0.529","1.6","2","0.9","0.1","0.6","0.3","3.6","2.5","4.4","7.8","120.1","103.4"
"","Cory Joseph","Orl","G","33.4","19","6.1","14.3","13.2","0","0","11","0.273","22","0.364","0.455","0.455","1.6","1","0.7","0.3","0.1","0.3","2.6","2.3","3.3","6.8","100.4","103.4"
"","James Johnson","Ind","F","37.9","5","4.3","23.1","36.4","1","0","6","0.667","1","0","0.571","0.538","1.6","0.8","0.6","0","0.4","0.8","2.4","2.2","3","8.5","75","105.7"
"","Armel Traore","Lal","F","21.9","8","7.7","16.5","9.9","7","0.286","11","0.455","7","0","0.278","0.285","1.5","1.8","0.1","0.5","0.3","0.3","3.3","1.6","3.4","3.4","59.9","103.8"
"","Matt Ryan","Nyk","F","27.7","10","4.6","22.8","12.5","0","0","7","0.429","14","0.214","0.357","0.357","1.5","0.2","0","0.1","0","0.3","1.7","1.5","1.7","0","63.8","120.2"
"","Terrence Shannon Jr.","Min","G-F","24.4","10","4.6","15.4","18.8","0","0","10","0.6","3","0.333","0.577","0.577","1.5","0.2","0.5","0.2","0.1","0.3","1.7","2","2.2","4.6","102.9","113.3"
"","Enrique Freeman","Ind","F","24.4","17","7","10.9","15.2","9","0.556","16","0.563","6","0.167","0.477","0.501","1.5","0.8","0.4","0.1","0.1","0.2","2.4","1.9","2.7","4.5","101.6","109.6"
"","Jordan Walsh","Bos","G","20.8","23","8.8","9.9","11.6","8","0.5","9","0.556","29","0.241","0.408","0.421","1.5","1.3","0.3","0.3","0.3","0.2","2.8","1.8","3.1","3.8","97","107.5"
"","Colin Castleton","Mem","C","24.6","9","3.7","14.2","0","9","1","4","0.5","4","0","0.25","0.543","1.4","0.9","0","0","0.1","0","2.3","1.4","2.3","0","0","0"
"","AJ Johnson","Mil","G","20.1","5","2.1","32.9","25","0","0","5","0.4","1","1","0.583","0.583","1.4","0.4","0.2","0","0","0.4","1.8","1.6","2","9.2","0","0"
"","Adam Flagler","Okc","G","25.1","11","3.6","21.3","0","0","0","1","0","19","0.263","0.375","0.375","1.4","0.5","0","0.2","0","0","1.9","1.4","1.9","0","0","0"
"","Pat Spencer","Gol","G","28.5","10","4.9","18.5","18.7","2","1","14","0.429","3","0","0.353","0.391","1.4","1","1.4","0.6","0","0.4","2.4","2.8","3.8","10.2","101.7","101.7"
"","Markieff Morris","Dal","F","35.3","4","5.2","22.4","18.2","0","0","6","0.167","3","0.333","0.278","0.278","1.3","1.3","0.5","0","0.3","0.5","2.5","1.8","3","7.3","58.6","114.5"
"","Jack McVeigh","Hou","G-F","28.5","6","3.6","23.1","8.3","0","0","3","0.333","8","0.25","0.364","0.364","1.3","0.7","0.2","0","0.2","0.2","2","1.5","2.2","6.3","0","0"
"","Luke Travers","Cle","F","23.3","6","6.9","10.2","21.2","2","1","4","0.75","3","0","0.429","0.508","1.3","1","0.8","0.2","0.2","0.3","2.3","2.2","3.2","5.9","109","107.9"
"","Jaden Springer","Bos","G","22.3","12","4.4","15.9","7","13","0.769","9","0.333","4","0","0.231","0.427","1.3","1.2","0.3","0.3","0","0.1","2.5","1.7","2.8","7.1","110","99.2"
"","JD Davison","Bos","G","22.2","5","4.7","21.6","53.5","2","0.5","2","0.5","3","0.333","0.5","0.51","1.2","0.4","0.2","0.2","0","1.2","1.6","1.4","1.8","3.9","50.6","110.6"
"","Xavier Tillman","Bos","F","26","20","7.9","11.3","14.6","2","0.5","16","0.313","19","0.211","0.314","0.321","1.2","1.7","0.3","0.3","0.2","0.3","2.9","1.5","3.2","4.3","77.5","104.7"
"","Zeke Nnaji","Den","F-C","24","18","4.6","14.3","7.7","5","0.2","15","0.667","9","0","0.417","0.401","1.2","0.4","0.2","0.1","0.1","0.1","1.6","1.4","1.8","4","86.5","113.2"
"","Sidy Cissoko","San","G","20.7","12","3","16.5","8.3","4","0","6","0.333","5","0.6","0.591","0.509","1.1","0.7","0.4","0","0","0.1","1.8","1.5","2.2","9","0","0"
"","Colby Jones","Sac","G","22.6","22","5.4","11.2","22.6","0","0","15","0.4","9","0.444","0.5","0.5","1.1","0.9","0.2","0.2","0.2","0.3","2","1.3","2.2","4.3","91.5","105.4"
"","Quinten Post","Gol","C","24.8","2","2.8","22.7","0","0","0","1","1","2","0","0.333","0.333","1","0.5","0.5","0","0","0","1.5","1.5","2","9","0","0"
"","Bryce McGowens","Por","G","22.1","2","3.4","12.4","0","0","0","1","1","1","0","0.5","0.5","1","0.5","0.5","0","0","0","1.5","1.5","2","7.4","0","0"
"","Jared Rhoden","Cha","G","25.3","4","2.9","32.6","11.1","0","0","6","0.333","2","0","0.25","0.25","1","1","0.5","0.3","0","0.3","2","1.5","2.5","10.9","0","0"
"","Dominick Barlow","Atl","F","21.6","4","4.9","8.1","0","2","0.5","2","0","1","1","0.5","0.515","1","0.3","0","0.3","0","0","1.3","1","1.3","0","108.3","109.2"
"","Jaylen Martin","Bro","G","20.9","3","1.6","18.8","0","0","0","1","0","1","1","0.75","0.75","1","0","0","0","0","0","1","1","1","0","0","0"
"","Reece Beekman","Gol","G","23.2","2","2.1","10.1","0","0","0","1","1","0","0","1","1","1","0.5","0.5","0.5","0","0","1.5","1.5","2","12","0","0"
"","Mouhamed Gueye","Atl","F","22.1","2","5.7","17.8","20","0","0","2","0.5","2","0","0.25","0.25","1","1","0","0","0","0.5","2","1","2","0","41.9","119.4"
"","Trey Alexander","Den","G","21.7","10","4.8","12.1","7.4","2","1","6","0.333","6","0.167","0.292","0.349","0.9","0.1","0.3","0","0.1","0.1","1","1.2","1.3","2.5","82.1","117.3"
"","PJ Dozier","Min","G-F","28.2","9","3.9","8.3","24.5","6","0.167","0","0","3","0.667","1","0.621","0.8","0.6","0.6","0.1","0","0.1","1.3","1.3","1.9","6.8","0","0"
"","Karlo Matkovic","Nor","F-C","23.8","5","7.7","9.8","44.4","0","0","5","0.4","0","0","0.4","0.4","0.8","2","0","0.6","0.6","0.8","2.8","0.8","2.8","0","72.1","110.7"
"","Baylor Scheierman","Bos","G","24.3","5","6.8","13.7","0","2","1","4","0.25","6","0","0.1","0.184","0.8","1.4","0.4","0.2","0","0","2.2","1.2","2.6","4.5","67.9","104.7"
"","D.J. Carton","Tor","G","24.4","4","8.4","14.1","35","1","1","4","0.25","3","0","0.143","0.202","0.8","1","0.8","0.5","0","1","1.8","1.5","2.5","4.1","42.8","118.1"
"","Keshad Johnson","Mia","F","23.5","3","4.7","6.2","0","0","0","1","1","1","0","0.5","0.5","0.7","1","0","0","0","0","1.7","0.7","1.7","0","100.7","106.6"
"","Branden Carlson","Okc","C","25.5","6","3.6","19.3","10.6","2","1","2","0.5","6","0","0.125","0.225","0.7","1.5","0.3","0.2","0.2","0.2","2.2","1","2.5","7.6","0","0"
"","PJ Hall","Den","C","22.9","6","2.3","15.5","0","0","0","3","0.667","2","0","0.4","0.4","0.7","0.5","0","0","0.2","0","1.2","0.7","1.2","0","0","0"
"","Chris Livingston","Mil","F","21.2","3","2","22","33.3","0","0","2","0.5","0","0","0.5","0.5","0.7","0.7","0.3","0.3","0","0.3","1.3","1","1.7","10.6","0","0"
"","Liam Robbins","Mil","C","25.5","7","4.7","9.1","19.6","4","0.25","3","0.667","1","0","0.5","0.434","0.7","1","0.1","0.1","0.1","0.1","1.7","0.9","1.9","3.5","108.3","103.2"
"","Ulrich Chomche","Tor","C","19","3","4.5","12.2","50","0","0","2","0.5","0","0","0.5","0.5","0.7","1.3","0.3","0","0","0.7","2","1","2.3","5.8","77.3","107.2"
"","Gui Santos","Gol","F","22.5","9","4.4","11.3","29.4","2","0.5","2","0.5","5","0.2","0.357","0.381","0.7","1","0.3","0","0.1","0.3","1.7","1","2","5.4","77.9","99.5"
"","Tristen Newton","Ind","G","23.7","5","1.6","40","13.4","1","1","3","0.333","3","0","0.167","0.233","0.6","0","0.2","0","0","0.2","0.6","0.8","0.8","0","0","0"
"","Maxwell Lewis","Lal","F","22.4","7","4.2","11.9","25","0","0","6","0.333","0","0","0.333","0.333","0.6","0.3","0.3","0.1","0","0.3","0.9","0.9","1.1","3.6","76.5","118.8"
"","Cui Yongxi","Bro","F","21.6","5","2.1","33.9","0","2","0.5","4","0.25","3","0","0.143","0.19","0.6","0.4","0","0","0","0","1","0.6","1","0","0","0"
"","Bronny James","Lal","G","20.2","7","2.6","21.1","0","2","1","4","0.25","4","0","0.125","0.225","0.6","0.1","0.3","0.1","0.1","0","0.7","0.9","1","4","0","0"
"","Garrett Temple","Tor","G-F","38.6","11","4.2","12.4","28.6","0","0","5","0.2","5","0.2","0.25","0.25","0.5","0.8","0.6","0.4","0.1","0.4","1.3","1.1","1.9","5.9","66.1","103.6"
"","Stanley Umude","Mil","G","25.7","8","3.3","9.9","0","2","0","1","0","4","0.25","0.3","0.255","0.4","0.8","0.3","0.1","0.1","0","1.1","0.6","1.4","5.6","0","0"
"","Daishen Nix","Min","G","22.9","3","4.4","19.5","76.6","2","0.5","0","0","1","0","0","0.266","0.3","1.3","1","0","0","1.3","1.7","1.3","2.7","6.6","43.9","101.9"
"","Jalen Bridges","Pho","F","23.6","4","4.2","15.5","38.3","2","0.5","0","0","3","0","0","0.129","0.3","0.8","0","0","0","0.5","1","0.3","1","0","18.6","121.1"
"","Malevy Leons","Okc","F","25.3","6","3.5","9.7","31.1","4","0.5","1","0","1","0","0","0.266","0.3","0.5","0.2","0","0","0.2","0.8","0.5","1","3.6","0","0"
"","Jacob Toppin","Nyk","F","24.6","9","2.7","7.2","25","0","0","1","1","2","0","0.333","0.333","0.2","0.4","0.4","0","0","0.1","0.7","0.7","1.1","4.7","0","0"
"","Tristan Vukcevic","Was","F","21.8","2","2.6","24","0","0","0","0","0","3","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0"
"","Josh Christopher","Mia","G","23.1","1","1.6","54.9","50","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"","Reece Beekman","Bro","G","23.2","4","4.9","11.4","40","0","0","1","0","2","0","0","0","0","0","0.3","0","0","0.5","0","0.3","0.3","0","13.3","114.4"
"","Isaiah Crawford","Sac","F","23.2","2","3.3","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0.5","0","0.5","0","0","0"
"","Justin Minaya","Por","F","25.8","1","6.1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","105.6"
"","Cole Swider","Det","F","25.6","2","6.6","16.3","0","0","0","0","0","5","0","0","0","0","1","0.5","0","0","0","1","0.5","1.5","0","15.1","112.2"
"","Mason Jones","Sac","G","26.4","3","4.2","6.8","0","0","0","0","0","2","0","0","0","0","1.3","2.3","0","0","0","1.3","2.3","3.7","0","132.4","108.2"
"","Harrison Ingram","San","F","22.1","1","6.8","6.3","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","102.5"
"","Riley Minix","San","F","24.3","1","6.8","6.3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","113.8"
"","Spencer Jones","Den","F","23.5","4","2.4","13.3","33.3","0","0","0","0","2","0","0","0","0","0.8","0","0.5","0","0.3","0.8","0","0.8","0","0","0"
"","Alex Ducas","Okc","G","24.1","4","1.8","17.5","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Daniss Jenkins","Det","G","23.4","2","2.5","17.1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Mac McClung","Orl","G","26","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","0","112.4"
"","Kessler Edwards","Dal","F","24.4","12","2.2","11.3","14.3","0","0","2","0","4","0","0","0","0","0.2","0.1","0","0.1","0.1","0.2","0.1","0.3","0","0","0"
"","Joe Ingles","Min","F-G","37.2","7","3.7","5","33.3","0","0","0","0","2","0","0","0","0","0.3","1.3","0","0","0.1","0.3","1.3","1.6","0","0","0"

