"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jamal Shead","Tor","G","22.4","28","15.5","16.8","22.2","12","0.75","77","0.481","56","0.339","0.492","0.506","5","1.2","3.3","0.5","0.1","1.4","6.2","8.3","9.5","7","101.3","110.9"
"","Kyle Anderson","Gol","F-G","31.3","26","14.5","15.9","9.5","20","0.65","81","0.444","42","0.357","0.476","0.493","5","3","2.2","0.8","0.5","0.5","8","7.2","10.2","8.8","112.8","105.2"
"","Eric Gordon","Phi","G","36","19","16.6","15.7","13.5","22","0.773","38","0.474","51","0.275","0.438","0.481","5","0.9","1.3","0.7","0.3","0.7","5.9","6.3","7.2","4.3","97.6","114.5"
"","Tidjane Salaun","Cha","F","19.4","28","19.2","14.1","13.6","24","0.708","53","0.34","93","0.301","0.411","0.438","4.9","4.3","1.1","0.6","0.2","0.8","9.2","6","10.4","5.9","95.1","109.8"
"","Charles Bassey","San","C-F","24.2","21","10.7","19.6","16.4","25","0.6","76","0.579","0","0","0.579","0.592","4.9","4.3","0.4","0.3","1","0.7","9.2","5.3","9.6","7.6","113.3","99"
"","Marvin Bagley III","Was","F","25.8","19","8.8","23","13.4","23","0.652","61","0.59","10","0.2","0.549","0.573","4.9","2.9","0.4","0.4","0.3","0.6","7.8","5.3","8.2","8.1","113","114.8"
"","Kevon Looney","Gol","F","28.9","28","15.8","13.8","13.2","41","0.439","112","0.527","0","0","0.527","0.523","4.9","6.9","1.7","0.7","0.2","0.6","11.8","6.5","13.5","9.8","122.8","95.3"
"","Max Strus","Cle","G-F","28.8","4","20.9","13.9","14.8","0","0","4","0.5","19","0.263","0.413","0.413","4.8","3.8","1.5","0.5","0","1","8.5","6.3","10","5.8","88.9","103.4"
"","Ryan Rollins","Mil","G","22.5","16","11.7","19","20.7","9","0.778","33","0.455","28","0.464","0.566","0.585","4.8","1.9","1.1","1.1","0.5","1","6.6","5.9","7.8","7.4","102.4","100.7"
"","Drew Eubanks","Uta","F-C","27.9","24","13.3","14.1","19.1","31","0.613","72","0.625","4","0.5","0.632","0.641","4.8","3.8","1.1","0.2","0.6","0.8","8.6","5.9","9.7","8.2","121.4","112.6"
"","Pat Connaughton","Mil","G","32","16","16.8","14.3","13.4","12","0.75","26","0.5","45","0.311","0.479","0.505","4.8","2.9","1.6","0.2","0.3","0.7","7.7","6.4","9.3","6.7","105.3","108.4"
"","Taylor Hendricks","Uta","F","21.1","3","24.8","12.3","9.8","4","0.75","6","0.167","12","0.25","0.306","0.354","4.7","5","0.7","1.7","1.3","0.7","9.7","5.3","10.3","4.1","87.8","110.2"
"","David Roddy","Atl","F","23.8","17","13.2","13.3","21.9","13","0.846","25","0.72","28","0.393","0.651","0.681","4.7","2.5","1.1","0.4","0.2","0.9","7.2","5.8","8.4","7.1","114.6","112.6"
"","Keaton Wallace","Atl","G","25.8","16","15.5","14.7","19.2","4","1","34","0.471","37","0.351","0.5","0.515","4.7","1.4","1.9","0.8","0.4","1.1","6.1","6.6","7.9","6","97.3","112.7"
"","Julian Phillips","Chi","F","21.2","32","13.9","14.2","10.1","30","0.667","49","0.571","75","0.32","0.516","0.539","4.6","2.1","0.5","0.6","0.3","0.4","6.7","5.1","7.2","4.9","108.7","109.9"
"","Gary Payton II","Gol","G","32.1","28","13.1","14.3","11.6","15","0.6","74","0.716","32","0.156","0.571","0.577","4.6","2.8","1.2","0.7","0.4","0.5","7.4","5.9","8.6","7.6","119.9","102.5"
